Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
7956,19072.02,236820.24,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,53.3,639.60,USD,,"Additional Records in Hosted Zones (1), IP (CIDR) blocks (1)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,11596.050000000001,139152.60,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,7956,2737.54,40806.48,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5a.4xlarge), Pricing strategy ( 1 Year  Partial upfront), Enable monitoring (disabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4622.46,55469.52,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,18.67,224.04,USD,,"S3 Standard storage (500 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (1000), GET, SELECT, and all other requests from S3 Standard (1000), Data returned by S3 Select (10 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,44,528.00,USD,,"Number of EC2 instances (4), Number of EIPs per instance (2), Number of EIP remaps (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
